Accession,ASC_f,Codon_f,GC,GC3
AE000511,0.19298245614035087,0.3384615384615385,38.873183533219375,40.89859641519995
AE002098,0.14285714285714285,0.23291139240506328,51.52783889876604,59.71123614190311
AE004092,0.25,0.25743589743589745,38.511784231872355,31.6688542072041
AE005176,0.15833333333333333,0.2894736842105263,35.329383083874674,25.475409051731596
AE006468,0.30612244897959184,0.26971677559912854,52.22170068657424,57.043899779355634
AE014299,0.2463768115942029,0.2864406779661017,45.960882617065316,45.78083558393288
AE015928,0.16666666666666666,0.28923076923076924,42.83717823940185,44.58875565762742
AE016823,0.2222222222222222,0.3824561403508772,35.049524395133716,29.64888454398507
AE017225,0.1865671641791045,0.24682539682539684,35.3794459501406,26.209940212096104
AE017285,0.06666666666666667,0.16363636363636364,63.14261166363938,74.76735786710447
AE017354,0.2702702702702703,0.32038834951456313,38.26951568595019,32.75505943755892
AL111168,0.35294117647058826,0.3814814814814815,30.548571686178516,18.980335850738253
AL123456,0.14285714285714285,0.14636591478696742,65.61466628826449,78.52914230432377
AL590842,0.2682926829268293,0.31784232365145226,47.63611023248458,48.09749834886232
AP009552,0.32567049808429116,0.30627615062761504,42.33063114485447,39.50931745666048
AP012205,0.35294117647058826,0.31550387596899226,47.73037910135888,49.90495534861084
BA000017,0.2727272727272727,0.33177257525083614,32.87779973729638,23.01103521987631
BX897699,0.2702702702702703,0.3594339622641509,38.23034861399023,28.890098869255546
CP001114,0.12121212121212122,0.20784313725490197,63.38816146436573,74.68077434111375
CP001219,0.3333333333333333,0.23333333333333334,58.77245718795988,65.35039366073784
CP002077,0.3333333333333333,0.2727272727272727,40.00367407728878,38.223983790255
U00096,0.2911392405063291,0.2549483013293944,50.79070985933456,53.7633008577989
