Accession,Stops_f,Tstarting_f,GC,GC3
AE000657,0.2761904761904762,0.4297520661157025,43.476167301066496,47.18621732053671
AE014184,0.33620689655172414,0.3046875,46.331997200483556,43.31984798362862
AE015928,0.39783001808318263,0.36388384754990927,42.83717823940185,44.58875565762742
AE016825,0.23173803526448364,0.19364754098360656,64.83374306473475,83.15720006089714
AE017282,0.21153846153846154,0.20415472779369628,63.58457295840506,77.96001192983474
AL935263,0.3716475095785441,0.3037190082644628,44.46688649939107,45.13685216456338
AM180252,0.5714285714285714,0.46511627906976744,33.2844865496402,18.680945512211654
AM236080,0.28289855072463765,0.19976949673453706,61.09037476108047,75.9558218001485
AM260479,0.203136136849608,0.17302798982188294,66.46591142419408,85.22432239106415
AM260525,0.3821428571428571,0.40825688073394495,38.856063299022054,30.077139499859406
AM494475,0.40816326530612246,0.4464751958224543,30.5310497961732,21.365218147233982
AM711867,0.2908296943231441,0.1063627730294397,72.66422692563216,94.7975161479547
AM743169,0.2956225127913587,0.15019421665947347,66.32404518043852,83.25334333965804
AM889285,0.2370617696160267,0.20101137800252844,66.43110337985524,80.11588632313429
AM902716,0.2319164802386279,0.1828605914302957,65.48282415680934,81.62050779849977
AM942759,0.6014492753623188,0.37596302003081666,38.89968663300527,30.75245291987967
AM999887,0.4460431654676259,0.3713235294117647,34.19024523509989,26.635196840406515
AP006628,0.38461538461538464,0.5220125786163522,27.75984301810356,19.896437816443562
AP006840,0.16073147256977863,0.15731462925851702,68.6684043088666,89.4912651578391
AP007255,0.2954971857410882,0.2134071340713407,65.093510400737,83.14199548369172
AP008230,0.3075980392156863,0.31049250535331907,47.35989345501921,50.59483233199998
AP008955,0.3378995433789954,0.3292894280762565,47.2735528479921,49.388060253065156
AP008971,0.6060606060606061,0.2898550724637681,32.3127743623778,26.650776270876232
AP009152,0.11868484362469928,0.11920529801324503,71.16380109284755,92.56099655074152
AP009153,0.28945216680294356,0.20417633410672853,64.27436141406316,76.88042010162982
AP009178,0.4666666666666667,0.4155251141552511,39.688625407429775,36.53261266972793
AP009179,0.527363184079602,0.32456140350877194,43.87148618201701,46.96062298295081
AP009380,0.36772486772486773,0.32167832167832167,48.359283634112224,53.05509468872864
AP009384,0.19693339722089123,0.14476987447698744,67.31902211118089,85.58033965760337
AP009389,0.20192307692307693,0.3154848046309696,52.96110399537247,62.3289097746804
AP009484,0.4166666666666667,0.35858585858585856,36.87685627905118,30.775165231510314
AP009510,0.39344262295081966,0.43548387096774194,35.20740200576095,30.40007037897882
AP009552,0.2802303262955854,0.29314657328664334,42.33063114485447,39.50931745666048
AP010904,0.23684210526315788,0.23204022988505746,62.769421550751524,77.06766538646693
AP010946,0.2370255615801704,0.15456238361266295,67.76023397993896,87.04108079465419
AP010953,0.45730994152046783,0.2976117575015309,50.68482282649143,52.79602195346696
AP010968,0.06454720616570328,0.1259811616954474,74.19750348332366,95.43552890821465
AP011112,0.32,0.41706161137440756,44.000263892354866,46.140012543177605
AP011121,0.3739495798319328,0.3282275711159737,53.03682379505382,53.06410333113375
AP011529,0.45588235294117646,0.375,31.118260965301925,22.211041788684792
AP011615,0.2950276243093923,0.2733374008541794,43.650355346998246,41.46555477408334
AP012027,0.4666666666666667,0.44,36.55623983118011,28.019531441606464
AP012029,0.21067415730337077,0.2876923076923077,53.84967293987223,61.151795580452166
AP012035,0.2350230414746544,0.1840680587780356,67.5791744356647,83.28976118847989
AP012044,0.27495908346972175,0.2787907869481766,53.32115202687688,62.44762599576779
AP012046,0.35545023696682465,0.3626373626373626,36.0410813510645,27.72117933022902
AP012050,0.42207792207792205,0.3262411347517731,35.71827205908107,26.499942957190925
AP012051,0.24050632911392406,0.4161490683229814,35.37487573029511,28.8596832483386
AP012052,0.13040791100123608,0.14625,70.27840545811512,89.51635710263977
AP012057,0.16454456415279137,0.18102734051367025,67.29244721885163,85.35204110605888
AP012157,0.39776951672862454,0.3654545454545455,38.60316874875766,32.68874104181474
AP012200,0.40559440559440557,0.4267515923566879,31.427530414899095,20.912233770188518
AP012204,0.19247467438494936,0.1800606520090978,67.2675393441247,83.09199829566528
AP012224,0.1894150417827298,0.20116618075801748,64.35657091688313,83.4582862067788
AP012273,0.3577981651376147,0.26957831325301207,56.27233867427217,64.736231939811
