Accession,taa_1,taa_3-6,taa_ratio,tga_1,tga_3-6,tga_ratio,tag_1,tag_3-6,tag_ratio,ttt_1,ttt_3-6,ttt_ratio,tta_1,tta_3-6,tta_ratio,ttc_1,ttc_3-6,ttc_ratio,ttg_1,ttg_3-6,ttg_ratio,tat_1,tat_3-6,tat_ratio,tac_1,tac_3-6,tac_ratio,tca_1,tca_3-6,tca_ratio,tct_1,tct_3-6,tct_ratio,tcc_1,tcc_3-6,tcc_ratio,tcg_1,tcg_3-6,tcg_ratio,tgt_1,tgt_3-6,tgt_ratio,tgc_1,tgc_3-6,tgc_ratio,tgg_1,tgg_3-6,tgg_ratio,GC,GC3
AE000657,0.021739130434782608,0.019021739130434784,0.1428571428571428,0.0,0.010869565217391304,-1.0,0.010869565217391304,0.004076086956521739,1.6666666666666665,0.06521739130434782,0.08695652173913043,-0.25,0.03260869565217391,0.020380434782608696,0.5999999999999999,0.04891304347826087,0.04483695652173913,0.09090909090909105,0.005434782608695652,0.016304347826086956,-0.6666666666666667,0.021739130434782608,0.02309782608695652,-0.05882352941176472,0.005434782608695652,0.012228260869565218,-0.5555555555555556,0.016304347826086956,0.008152173913043478,1.0,0.016304347826086956,0.029891304347826084,-0.4545454545454545,0.02717391304347826,0.03668478260869565,-0.2592592592592592,0.0,0.004076086956521739,-1.0,0.021739130434782608,0.006793478260869565,2.2,0.005434782608695652,0.002717391304347826,1.0,0.010869565217391304,0.012228260869565216,-0.11111111111111105,43.476167301066496,47.18621732053671
AE014184,0.028368794326241134,0.028368794326241134,0.0,0.0,0.017730496453900707,-1.0,0.0,0.012411347517730494,-1.0,0.04964539007092199,0.03368794326241135,0.47368421052631593,0.0,0.01950354609929078,-1.0,0.03546099290780142,0.015957446808510637,1.2222222222222228,0.028368794326241134,0.023049645390070924,0.23076923076923062,0.028368794326241134,0.01773049645390071,0.5999999999999999,0.0070921985815602835,0.012411347517730495,-0.4285714285714285,0.014184397163120567,0.0070921985815602835,1.0,0.0425531914893617,0.015957446808510637,1.666666666666667,0.0,0.005319148936170213,-1.0,0.0070921985815602835,0.012411347517730495,-0.4285714285714285,0.0070921985815602835,0.03546099290780142,-0.8,0.014184397163120567,0.03191489361702128,-0.5555555555555556,0.014184397163120567,0.021276595744680854,-0.3333333333333335,46.331997200483556,43.31984798362862
AE015928,0.04814004376367615,0.03419037199124726,0.40800000000000014,0.016411378555798686,0.017368708971553612,-0.0551181102362206,0.015317286652078774,0.010940919037199124,0.3999999999999999,0.03336980306345733,0.03760940919037199,-0.11272727272727268,0.0262582056892779,0.033369803063457326,-0.21311475409836056,0.019693654266958426,0.018736323851203503,0.051094890510948954,0.019693654266958426,0.016548140043763676,0.1900826446280992,0.036105032822757115,0.037199124726477024,-0.02941176470588225,0.023522975929978117,0.01299234135667396,0.8105263157894735,0.01312910284463895,0.018736323851203503,-0.2992700729927008,0.022428884026258207,0.01764223194748359,0.2713178294573644,0.010940919037199124,0.009163019693654267,0.19402985074626855,0.01312910284463895,0.005196936542669584,1.5263157894736845,0.009846827133479213,0.018599562363238512,-0.47058823529411764,0.009299781181619256,0.009163019693654267,0.014925373134328401,0.005470459518599562,0.006838074398249453,-0.20000000000000007,42.83717823940185,44.58875565762742
AE016825,0.006934812760055479,0.007628294036061026,-0.09090909090909072,0.0027739251040221915,0.011095700416088766,-0.75,0.004160887656033287,0.005201109570041609,-0.20000000000000007,0.011095700416088766,0.014563106796116505,-0.23809523809523814,0.0013869625520110957,0.01074895977808599,-0.8709677419354839,0.019417475728155338,0.018030513176144243,0.07692307692307687,0.005547850208044383,0.015256588072122053,-0.6363636363636364,0.008321775312066574,0.006934812760055478,0.19999999999999996,0.0027739251040221915,0.006588072122052704,-0.5789473684210527,0.008321775312066574,0.012482662968099861,-0.33333333333333337,0.012482662968099861,0.009361997226074895,0.3333333333333335,0.0319001386962552,0.01525658807212205,1.0909090909090913,0.04022191400832178,0.01872399445214979,1.1481481481481484,0.0013869625520110957,0.010055478502080443,-0.8620689655172413,0.009708737864077669,0.017337031900138695,-0.44000000000000006,0.018030513176144243,0.015603328710124827,0.15555555555555545,64.83374306473475,83.15720006089714
AE017282,0.011695906432748537,0.0029239766081871343,3.0,0.0,0.01023391812865497,-1.0,0.005847953216374269,0.0029239766081871343,1.0,0.005847953216374269,0.014619883040935672,-0.6,0.005847953216374269,0.0014619883040935672,3.0,0.017543859649122806,0.02631578947368421,-0.33333333333333337,0.005847953216374269,0.01023391812865497,-0.4285714285714286,0.011695906432748537,0.007309941520467836,0.6000000000000001,0.011695906432748537,0.007309941520467836,0.6000000000000001,0.011695906432748537,0.013157894736842105,-0.11111111111111116,0.005847953216374269,0.014619883040935672,-0.6,0.029239766081871343,0.03654970760233918,-0.19999999999999996,0.05263157894736842,0.027777777777777776,0.894736842105263,0.005847953216374269,0.008771929824561403,-0.33333333333333337,0.005847953216374269,0.01608187134502924,-0.6363636363636364,0.0,0.011695906432748537,-1.0,63.58457295840506,77.96001192983474
AL935263,0.037569944044764186,0.033772981614708236,0.11242603550295849,0.02158273381294964,0.02378097521982414,-0.09243697478991597,0.006394884092725819,0.014388489208633094,-0.5555555555555556,0.05435651478816946,0.02697841726618705,1.0148148148148146,0.06874500399680256,0.03437250199840128,1.0,0.01598721023181455,0.009992006394884092,0.6000000000000001,0.03437250199840128,0.020983213429256593,0.6380952380952383,0.02478017585931255,0.018784972022382093,0.3191489361702129,0.010391686650679457,0.009392486011191047,0.1063829787234043,0.037569944044764186,0.02078337330135891,0.8076923076923077,0.017585931254996003,0.008992805755395683,0.9555555555555555,0.011990407673860911,0.006394884092725819,0.875,0.016786570743405275,0.00859312549960032,0.9534883720930232,0.013589128697042365,0.012390087929656275,0.09677419354838701,0.007194244604316547,0.01159072741806555,-0.3793103448275863,0.011990407673860911,0.014788169464428458,-0.18918918918918926,44.46688649939107,45.13685216456338
AM180252,0.07532956685499058,0.05555555555555556,0.3559322033898302,0.018832391713747645,0.012241054613935971,0.5384615384615383,0.018832391713747645,0.026836158192090398,-0.29824561403508787,0.05649717514124294,0.061676082862523546,-0.08396946564885499,0.04896421845574388,0.06120527306967985,-0.20000000000000007,0.011299435028248588,0.010828625235404895,0.04347826086956541,0.011299435028248588,0.013653483992467044,-0.1724137931034483,0.09792843691148775,0.08097928436911488,0.20930232558139528,0.02448210922787194,0.01647834274952919,0.48571428571428577,0.007532956685499058,0.010828625235404897,-0.30434782608695654,0.02071563088512241,0.02259887005649718,-0.08333333333333337,0.009416195856873822,0.0018832391713747645,4.0,0.0,0.0014124293785310734,-1.0,0.02071563088512241,0.01694915254237288,0.22222222222222232,0.005649717514124294,0.003295668549905838,0.7142857142857142,0.003766478342749529,0.004708097928436911,-0.19999999999999996,33.2844865496402,18.680945512211654
AM236080,0.01167883211678832,0.005474452554744526,1.1333333333333333,0.01167883211678832,0.013503649635036497,-0.1351351351351352,0.00583941605839416,0.0036496350364963502,0.5999999999999999,0.021897810218978103,0.016423357664233577,0.33333333333333326,0.00145985401459854,0.0051094890510948905,-0.7142857142857143,0.024817518248175182,0.023722627737226276,0.04615384615384621,0.01167883211678832,0.016058394160583942,-0.2727272727272728,0.004379562043795621,0.0051094890510948905,-0.1428571428571428,0.00291970802919708,0.003284671532846715,-0.11111111111111105,0.01167883211678832,0.01678832116788321,-0.30434782608695643,0.017518248175182483,0.012408759124087591,0.41176470588235303,0.024817518248175182,0.020802919708029197,0.1929824561403508,0.033576642335766425,0.032846715328467155,0.022222222222222143,0.00583941605839416,0.00802919708029197,-0.2727272727272726,0.02335766423357664,0.01897810218978102,0.23076923076923084,0.0072992700729927005,0.014233576642335766,-0.4871794871794872,61.09037476108047,75.9558218001485
AM260479,0.004454342984409799,0.005011135857461024,-0.11111111111111105,0.0066815144766146995,0.010022271714922048,-0.33333333333333326,0.0,0.0027839643652561247,-1.0,0.008908685968819599,0.006681514476614699,0.3333333333333335,0.0022271714922048997,0.0016703786191536747,0.3333333333333335,0.0200445434298441,0.013363028953229397,0.5000000000000002,0.013363028953229399,0.015033407572383074,-0.11111111111111105,0.0,0.0027839643652561247,-1.0,0.0066815144766146995,0.006124721603563474,0.09090909090909105,0.015590200445434299,0.013363028953229399,0.16666666666666674,0.008908685968819599,0.005567928730512249,0.5999999999999999,0.024498886414253896,0.013363028953229397,0.8333333333333335,0.022271714922048998,0.020601336302895325,0.08108108108108092,0.004454342984409799,0.004454342984409799,0.0,0.017817371937639197,0.0244988864142539,-0.2727272727272728,0.011135857461024499,0.01224944320712695,-0.09090909090909094,66.46591142419408,85.22432239106415
AM260525,0.01707317073170732,0.0375,-0.5447154471544715,0.014634146341463415,0.016463414634146342,-0.11111111111111105,0.006097560975609756,0.006097560975609756,0.0,0.05365853658536585,0.06067073170731707,-0.11557788944723613,0.018292682926829267,0.029268292682926828,-0.375,0.01951219512195122,0.02103658536585366,-0.07246376811594213,0.01707317073170732,0.0225609756097561,-0.2432432432432433,0.02926829268292683,0.034451219512195125,-0.1504424778761062,0.007317073170731708,0.009146341463414634,-0.19999999999999996,0.02195121951219512,0.022865853658536585,-0.040000000000000036,0.013414634146341463,0.027439024390243903,-0.5111111111111111,0.01097560975609756,0.00853658536585366,0.2857142857142856,0.003658536585365854,0.003048780487804878,0.19999999999999996,0.007317073170731708,0.01707317073170732,-0.5714285714285714,0.018292682926829267,0.011890243902439025,0.5384615384615383,0.007317073170731708,0.009146341463414635,-0.20000000000000007,38.856063299022054,30.077139499859406
