Accession,TAA_primary,TGA_primary,TAG_primary,TAA_asc,TGA_asc,TAG_asc,GC,GC3
AE000511,0.5512820512820513,0.25,0.1987179487179487,0.5542635658914729,0.21705426356589147,0.22868217054263565,38.873183533219375,40.89859641519995
AE002098,0.7215189873417721,0.24050632911392406,0.0379746835443038,0.6090909090909091,0.33636363636363636,0.05454545454545454,51.52783889876604,59.71123614190311
AE004092,0.8256410256410256,0.02564102564102564,0.14871794871794872,0.7083333333333334,0.09523809523809523,0.19642857142857142,38.511784231872355,31.6688542072041
AE005176,0.9298245614035088,0.02631578947368421,0.043859649122807015,0.7912621359223301,0.11407766990291263,0.09466019417475728,35.329383083874674,25.475409051731596
AE006468,0.7821350762527233,0.16775599128540306,0.05010893246187364,0.6993670886075949,0.21677215189873417,0.08386075949367089,52.22170068657424,57.043899779355634
AE014299,0.8686440677966102,0.059322033898305086,0.07203389830508475,0.743801652892562,0.11019283746556474,0.14600550964187328,45.960882617065316,45.78083558393288
AE015928,0.8615384615384616,0.08461538461538462,0.05384615384615385,0.7285067873303167,0.1493212669683258,0.12217194570135746,42.83717823940185,44.58875565762742
AE016823,0.7087719298245614,0.21403508771929824,0.07719298245614035,0.647191011235955,0.22696629213483147,0.1258426966292135,35.049524395133716,29.64888454398507
AE017225,0.8690476190476191,0.03571428571428571,0.09523809523809523,0.7258064516129032,0.10829493087557604,0.16589861751152074,35.3794459501406,26.209940212096104
AE017285,0.18181818181818182,0.13333333333333333,0.6848484848484848,0.18274111675126903,0.19796954314720813,0.6192893401015228,63.14261166363938,74.76735786710447
AE017354,0.8058252427184466,0.07766990291262135,0.11650485436893204,0.7378048780487805,0.12804878048780488,0.13414634146341464,38.26951568595019,32.75505943755892
AL111168,0.8703703703703703,0.09259259259259259,0.037037037037037035,0.7558139534883721,0.12790697674418605,0.11627906976744186,30.548571686178516,18.980335850738253
AL123456,0.17293233082706766,0.40601503759398494,0.42105263157894735,0.1694915254237288,0.4322033898305085,0.3983050847457627,65.61466628826449,78.52914230432377
AL590842,0.7717842323651453,0.16597510373443983,0.06224066390041494,0.648936170212766,0.21010638297872342,0.14095744680851063,47.63611023248458,48.09749834886232
AP009552,0.602510460251046,0.14225941422594143,0.25523012552301255,0.5450847457627118,0.19186440677966102,0.26305084745762713,42.33063114485447,39.50931745666048
AP012205,0.5503875968992248,0.03875968992248062,0.4108527131782946,0.5230352303523035,0.12737127371273713,0.34959349593495936,47.73037910135888,49.90495534861084
BA000017,0.903010033444816,0.0,0.09698996655518395,0.8003597122302158,0.08273381294964029,0.11690647482014388,32.87779973729638,23.01103521987631
BX897699,0.6933962264150944,0.16037735849056603,0.14622641509433962,0.6047197640117994,0.2448377581120944,0.1504424778761062,38.23034861399023,28.890098869255546
CP001114,0.5058823529411764,0.4588235294117647,0.03529411764705882,0.4472843450479233,0.4984025559105431,0.054313099041533544,63.38816146436573,74.68077434111375
CP001219,0.35714285714285715,0.5,0.14285714285714285,0.35064935064935066,0.5064935064935064,0.14285714285714285,58.77245718795988,65.35039366073784
CP002077,0.8181818181818182,0.0,0.18181818181818182,0.7368421052631579,0.05263157894736842,0.21052631578947367,40.00367407728878,38.223983790255
U00096,0.8124076809453471,0.16100443131462333,0.026587887740029542,0.7126436781609196,0.2225705329153605,0.06478578892371996,50.79070985933456,53.7633008577989
